"","ID","Age","Gender","Education","CogSci","CPI_native","CPI_current","NativeCountry","CurrentCountry","Years_Current","d_condition","d_data","q_condition","q_data","f_condition","f_data"
"1:77","41","55","Mand","Bachelor","Ja",44,87,"Rumænien","Danmark","13","Dilemma2","0",NA,NA,NA,NA
"1:78","38","39","Mand","Kandidat","Nej",38,87,"Sri Lanka","Danmark","35","Dilemma2","1",NA,NA,NA,NA
"1:79","39","49","Mand","Kandidat","Nej",80,87,"Tyskland","Sverige","13","Dilemma2","1",NA,NA,NA,NA
"1:80","45","54","Kvinde","Gymnasial uddannelse","Nej",80,87,"Tyskland","Danmark","25","Dilemma2","1",NA,NA,NA,NA
"1:81","7","48","Mand","PhD","Nej",44,87,"Ungarn","Danmark","11","Dilemma2","0",NA,NA,NA,NA
"1:82","25","49","Kvinde","Gymnasial uddannelse","Nej",44,87,"Ungarn","Danmark","10","Dilemma2","1",NA,NA,NA,NA
"1:83","4","46","Kvinde","Kandidat","Nej",44,87,"Ungarn","Danmark","11","Dilemma2","1",NA,NA,NA,NA
"1:84","36","18","Mand","Folkeskole","Nej",44,87,"Ungarn","Danmark","11","Dilemma2","1",NA,NA,NA,NA
"1:85","16","40","Kvinde","Kandidat","Nej",44,87,"Ungarn","Ungarn","36","Dilemma2","1",NA,NA,NA,NA
"1:86","34","17","Kvinde","Folkeskole","Nej",44,87,"Ungarn","Danmark","10","Dilemma2","1",NA,NA,NA,NA
"1:87","18","56","Kvinde","Kandidat","Ja",44,87,"Ungarn","Danmark","10","Dilemma2","1",NA,NA,NA,NA
"1:88","11","16","Mand","Folkeskole","Nej",44,85,"Ungarn","Danmark","10","Dilemma2","1",NA,NA,NA,NA
"1:89","9","43","Kvinde","PhD","Nej",44,44,"Ungarn","Ungarn","43","Dilemma2","1",NA,NA,NA,NA
"1:90","30","55","Kvinde","Kandidat","Nej",44,44,"Ungarn","Danmark","11","Dilemma2","1",NA,NA,NA,NA
"1:91","1","21","Kvinde","Gymnasial uddannelse","Ja",87,87,"Danmark","Danmark","18",NA,NA,"Q1","4",NA,NA
"1:92","2","24","Kvinde","Gymnasial uddannelse","Ja",87,87,"Danmark","Danmark","24",NA,NA,"Q1","3",NA,NA
"1:93","3","25","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","25",NA,NA,"Q1","5",NA,NA
"1:94","17","46","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","46",NA,NA,"Q1","5",NA,NA
"1:95","31","22","Mand","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","22",NA,NA,"Q1","3",NA,NA
"1:96","6","52","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q1","5",NA,NA
"1:97","24","53","Mand","Kandidat","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q1","5",NA,NA
"1:98","8","59","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","59",NA,NA,"Q1","4",NA,NA
"1:99","22","20","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","20",NA,NA,"Q1","5",NA,NA
"1:100","10","52","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q1","2",NA,NA
"1:101","15","51","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","51",NA,NA,"Q1","3",NA,NA
"1:102","12","50","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","50",NA,NA,"Q1","5",NA,NA
"1:103","26","20","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","20",NA,NA,"Q1","2",NA,NA
"1:104","14","48","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","48",NA,NA,"Q1","3",NA,NA
"1:105","19","57","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","57",NA,NA,"Q1","5",NA,NA
"1:106","29","55","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","55",NA,NA,"Q1","5",NA,NA
"1:107","43","63","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","63",NA,NA,"Q1","5",NA,NA
"1:108","44","44","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","44",NA,NA,"Q1","5",NA,NA
"1:109","27","60","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","60",NA,NA,"Q1","4",NA,NA
"1:110","37","18","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","18",NA,NA,"Q1","3",NA,NA
"1:111","21","45","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","45",NA,NA,"Q1","5",NA,NA
"1:112","35","18","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","18",NA,NA,"Q1","3",NA,NA
"1:113","28","49","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","49",NA,NA,"Q1","4",NA,NA
"1:114","32","52","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q1","6",NA,NA
"1:115","40","47","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","47",NA,NA,"Q1","5",NA,NA
"1:116","20","48","Mand","Gymnasial uddannelse","Nej",82,87,"Holland","Danmark","25",NA,NA,"Q1","5",NA,NA
"1:117","23","27","Mand","Kandidat","Nej",20,87,"Irak","Danmark","25",NA,NA,"Q1","2",NA,NA
"1:118","5","16","Kvinde","Folkeskole","Nej",73,87,"Japan","Danmark","11",NA,NA,"Q1","2",NA,NA
"1:119","13","49","Mand","PhD","Nej",60,87,"Litauen","Danmark","11",NA,NA,"Q1","4",NA,NA
"1:120","33","44","Mand","Kandidat","Nej",44,87,"Rumænien","Danmark","9",NA,NA,"Q1","5",NA,NA
"1:121","42","50","Kvinde","Gymnasial uddannelse","Nej",44,87,"Rumænien","Danmark","12",NA,NA,"Q1","4",NA,NA
"1:122","41","55","Mand","Bachelor","Ja",44,87,"Rumænien","Danmark","13",NA,NA,"Q1","3",NA,NA
"1:123","38","39","Mand","Kandidat","Nej",38,87,"Sri Lanka","Danmark","35",NA,NA,"Q1","4",NA,NA
"1:124","39","49","Mand","Kandidat","Nej",80,87,"Tyskland","Sverige","13",NA,NA,"Q1","4",NA,NA
"1:125","45","54","Kvinde","Gymnasial uddannelse","Nej",80,87,"Tyskland","Danmark","25",NA,NA,"Q1","3",NA,NA
"1:126","7","48","Mand","PhD","Nej",44,87,"Ungarn","Danmark","11",NA,NA,"Q1","4",NA,NA
"1:127","25","49","Kvinde","Gymnasial uddannelse","Nej",44,87,"Ungarn","Danmark","10",NA,NA,"Q1","5",NA,NA
"1:128","4","46","Kvinde","Kandidat","Nej",44,87,"Ungarn","Danmark","11",NA,NA,"Q1","4",NA,NA
"1:129","36","18","Mand","Folkeskole","Nej",44,87,"Ungarn","Danmark","11",NA,NA,"Q1","5",NA,NA
"1:130","16","40","Kvinde","Kandidat","Nej",44,87,"Ungarn","Ungarn","36",NA,NA,"Q1","4",NA,NA
"1:131","34","17","Kvinde","Folkeskole","Nej",44,87,"Ungarn","Danmark","10",NA,NA,"Q1","3",NA,NA
"1:132","18","56","Kvinde","Kandidat","Ja",44,87,"Ungarn","Danmark","10",NA,NA,"Q1","5",NA,NA
"1:133","11","16","Mand","Folkeskole","Nej",44,85,"Ungarn","Danmark","10",NA,NA,"Q1","5",NA,NA
"1:134","9","43","Kvinde","PhD","Nej",44,44,"Ungarn","Ungarn","43",NA,NA,"Q1","3",NA,NA
"1:135","30","55","Kvinde","Kandidat","Nej",44,44,"Ungarn","Danmark","11",NA,NA,"Q1","4",NA,NA
"1:136","1","21","Kvinde","Gymnasial uddannelse","Ja",87,87,"Danmark","Danmark","18",NA,NA,"Q2","5",NA,NA
"1:137","2","24","Kvinde","Gymnasial uddannelse","Ja",87,87,"Danmark","Danmark","24",NA,NA,"Q2","4",NA,NA
"1:138","3","25","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","25",NA,NA,"Q2","6",NA,NA
"1:139","17","46","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","46",NA,NA,"Q2","6",NA,NA
"1:140","31","22","Mand","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","22",NA,NA,"Q2","4",NA,NA
"1:141","6","52","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q2","6",NA,NA
"1:142","24","53","Mand","Kandidat","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q2","5",NA,NA
"1:143","8","59","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","59",NA,NA,"Q2","4",NA,NA
"1:144","22","20","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","20",NA,NA,"Q2","5",NA,NA
"1:145","10","52","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q2","3",NA,NA
"1:146","15","51","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","51",NA,NA,"Q2","3",NA,NA
"1:147","12","50","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","50",NA,NA,"Q2","5",NA,NA
"1:148","26","20","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","20",NA,NA,"Q2","2",NA,NA
"1:149","14","48","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","48",NA,NA,"Q2","5",NA,NA
"1:150","19","57","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","57",NA,NA,"Q2","5",NA,NA
"1:151","29","55","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","55",NA,NA,"Q2","5",NA,NA
"1:152","43","63","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","63",NA,NA,"Q2","5",NA,NA
"1:153","44","44","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","44",NA,NA,"Q2","5",NA,NA
"1:154","27","60","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","60",NA,NA,"Q2","5",NA,NA
"1:155","37","18","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","18",NA,NA,"Q2","4",NA,NA
"1:156","21","45","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","45",NA,NA,"Q2","5",NA,NA
"1:157","35","18","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","18",NA,NA,"Q2","3",NA,NA
"1:158","28","49","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","49",NA,NA,"Q2","5",NA,NA
"1:159","32","52","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q2","6",NA,NA
"1:160","40","47","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","47",NA,NA,"Q2","5",NA,NA
"1:161","20","48","Mand","Gymnasial uddannelse","Nej",82,87,"Holland","Danmark","25",NA,NA,"Q2","6",NA,NA
"1:162","23","27","Mand","Kandidat","Nej",20,87,"Irak","Danmark","25",NA,NA,"Q2","4",NA,NA
"1:163","5","16","Kvinde","Folkeskole","Nej",73,87,"Japan","Danmark","11",NA,NA,"Q2","3",NA,NA
"1:164","13","49","Mand","PhD","Nej",60,87,"Litauen","Danmark","11",NA,NA,"Q2","4",NA,NA
"1:165","33","44","Mand","Kandidat","Nej",44,87,"Rumænien","Danmark","9",NA,NA,"Q2","5",NA,NA
"1:166","42","50","Kvinde","Gymnasial uddannelse","Nej",44,87,"Rumænien","Danmark","12",NA,NA,"Q2","3",NA,NA
"1:167","41","55","Mand","Bachelor","Ja",44,87,"Rumænien","Danmark","13",NA,NA,"Q2","3",NA,NA
"1:168","38","39","Mand","Kandidat","Nej",38,87,"Sri Lanka","Danmark","35",NA,NA,"Q2","4",NA,NA
"1:169","39","49","Mand","Kandidat","Nej",80,87,"Tyskland","Sverige","13",NA,NA,"Q2","5",NA,NA
"1:170","45","54","Kvinde","Gymnasial uddannelse","Nej",80,87,"Tyskland","Danmark","25",NA,NA,"Q2","3",NA,NA
"1:171","7","48","Mand","PhD","Nej",44,87,"Ungarn","Danmark","11",NA,NA,"Q2","4",NA,NA
"1:172","25","49","Kvinde","Gymnasial uddannelse","Nej",44,87,"Ungarn","Danmark","10",NA,NA,"Q2","5",NA,NA
"1:173","4","46","Kvinde","Kandidat","Nej",44,87,"Ungarn","Danmark","11",NA,NA,"Q2","4",NA,NA
"1:174","36","18","Mand","Folkeskole","Nej",44,87,"Ungarn","Danmark","11",NA,NA,"Q2","5",NA,NA
"1:175","16","40","Kvinde","Kandidat","Nej",44,87,"Ungarn","Ungarn","36",NA,NA,"Q2","4",NA,NA
"1:176","34","17","Kvinde","Folkeskole","Nej",44,87,"Ungarn","Danmark","10",NA,NA,"Q2","6",NA,NA
"1:177","18","56","Kvinde","Kandidat","Ja",44,87,"Ungarn","Danmark","10",NA,NA,"Q2","4",NA,NA
"1:178","11","16","Mand","Folkeskole","Nej",44,85,"Ungarn","Danmark","10",NA,NA,"Q2","5",NA,NA
"1:179","9","43","Kvinde","PhD","Nej",44,44,"Ungarn","Ungarn","43",NA,NA,"Q2","4",NA,NA
"1:180","30","55","Kvinde","Kandidat","Nej",44,44,"Ungarn","Danmark","11",NA,NA,"Q2","4",NA,NA
"1:181","1","21","Kvinde","Gymnasial uddannelse","Ja",87,87,"Danmark","Danmark","18",NA,NA,"Q3","2",NA,NA
"1:182","2","24","Kvinde","Gymnasial uddannelse","Ja",87,87,"Danmark","Danmark","24",NA,NA,"Q3","5",NA,NA
"1:183","3","25","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","25",NA,NA,"Q3","5",NA,NA
"1:184","17","46","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","46",NA,NA,"Q3","6",NA,NA
"1:185","31","22","Mand","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","22",NA,NA,"Q3","4",NA,NA
"1:186","6","52","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q3","4",NA,NA
"1:187","24","53","Mand","Kandidat","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q3","5",NA,NA
"1:188","8","59","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","59",NA,NA,"Q3","5",NA,NA
"1:189","22","20","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","20",NA,NA,"Q3","5",NA,NA
"1:190","10","52","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q3","3",NA,NA
"1:191","15","51","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","51",NA,NA,"Q3","4",NA,NA
"1:192","12","50","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","50",NA,NA,"Q3","5",NA,NA
"1:193","26","20","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","20",NA,NA,"Q3","3",NA,NA
"1:194","14","48","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","48",NA,NA,"Q3","5",NA,NA
"1:195","19","57","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","57",NA,NA,"Q3","5",NA,NA
"1:196","29","55","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","55",NA,NA,"Q3","5",NA,NA
"1:197","43","63","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","63",NA,NA,"Q3","5",NA,NA
"1:198","44","44","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","44",NA,NA,"Q3","6",NA,NA
"1:199","27","60","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","60",NA,NA,"Q3","5",NA,NA
"1:200","37","18","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","18",NA,NA,"Q3","5",NA,NA
"1:201","21","45","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","45",NA,NA,"Q3","5",NA,NA
"1:202","35","18","Kvinde","Folkeskole","Nej",87,87,"Danmark","Danmark","18",NA,NA,"Q3","3",NA,NA
"1:203","28","49","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","49",NA,NA,"Q3","4",NA,NA
"1:204","32","52","Kvinde","Bachelor","Nej",87,87,"Danmark","Danmark","52",NA,NA,"Q3","6",NA,NA
"1:205","40","47","Kvinde","Gymnasial uddannelse","Nej",87,87,"Danmark","Danmark","47",NA,NA,"Q3","5",NA,NA
"1:206","20","48","Mand","Gymnasial uddannelse","Nej",82,87,"Holland","Danmark","25",NA,NA,"Q3","5",NA,NA
"1:207","23","27","Mand","Kandidat","Nej",20,87,"Irak","Danmark","25",NA,NA,"Q3","6",NA,NA
"1:208","5","16","Kvinde","Folkeskole","Nej",73,87,"Japan","Danmark","11",NA,NA,"Q3","3",NA,NA
"1:209","13","49","Mand","PhD","Nej",60,87,"Litauen","Danmark","11",NA,NA,"Q3","4",NA,NA
"1:210","33","44","Mand","Kandidat","Nej",44,87,"Rumænien","Danmark","9",NA,NA,"Q3","5",NA,NA
"1:211","42","50","Kvinde","Gymnasial uddannelse","Nej",44,87,"Rumænien","Danmark","12",NA,NA,"Q3","3",NA,NA
"1:212","41","55","Mand","Bachelor","Ja",44,87,"Rumænien","Danmark","13",NA,NA,"Q3","4",NA,NA
"1:213","38","39","Mand","Kandidat","Nej",38,87,"Sri Lanka","Danmark","35",NA,NA,"Q3","4",NA,NA
"1:214","39","49","Mand","Kandidat","Nej",80,87,"Tyskland","Sverige","13",NA,NA,"Q3","5",NA,NA
"1:215","45","54","Kvinde","Gymnasial uddannelse","Nej",80,87,"Tyskland","Danmark","25",NA,NA,"Q3","6",NA,NA
"1:216","7","48","Mand","PhD","Nej",44,87,"Ungarn","Danmark","11",NA,NA,"Q3","5",NA,NA
